koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr
FALSE POSITIVE,FALSE POSITIVE,0,2.97600846,2.55E-05,-2.55E-05,132.98121,5.51E-03,-5.51E-03,0.715,0.015,-0.53,4.274,0.219,-0.219,1.03E+02,5.10E+00,-5.10E+00,2.27,5.50E-01,-1.01E+00,3034.68,2255.33,-2239.9,25.9
CONFIRMED,CANDIDATE,0.991,15.18727049,8.66E-05,-8.66E-05,134.05495,4.79E-03,-4.79E-03,0.839,0.083,-0.577,4.509,0.154,-0.154,2.93E+02,1.56E+01,-1.56E+01,1.94,5.80E-01,-2.50E-01,91.56,83.15,-31.59,21.4
CONFIRMED,CANDIDATE,0.999,28.6853212,2.02E-04,-2.02E-04,159.87094,5.85E-03,-5.85E-03,0.922,0.03,-0.638,6.307,0.174,-0.174,6.89E+02,3.18E+01,-3.18E+01,2.69,6.40E-01,-2.30E-01,21.09,14.41,-5.45,23.8
CONFIRMED,CANDIDATE,0.15,0.588001053,5.82E-07,-5.82E-07,132.058754,8.14E-04,-8.14E-04,0.403,0.028,-0.403,1.1451,0.0288,-0.0288,2.97E+02,7.40E+00,-7.40E+00,0.99,4.00E-02,-7.00E-02,473.45,81.06,-94.76,50.9
CONFIRMED,CANDIDATE,0.99,85.7357202,8.31E-04,-8.31E-04,170.98121,7.92E-03,-7.92E-03,0.033,0.431,-0.033,7.625,0.26,-0.26,7.48E+02,4.03E+01,-4.03E+01,2.94,9.80E-01,-3.90E-01,9.54,9.64,-3.32,20.8
CONFIRMED,CANDIDATE,1,1.078389713,2.59E-06,-2.59E-06,133.25041,2.08E-03,-2.08E-03,0.846,0.116,-0.594,1.3394,0.0646,-0.0646,3.01E+02,1.55E+01,-1.55E+01,1.98,5.50E-01,-3.30E-01,1817.38,1572.44,-676.76,23.6
CONFIRMED,CANDIDATE,0.998,5.03728033,1.57E-05,-1.57E-05,134.1094,2.58E-03,-2.58E-03,0.96,0.001,-0.665,2.0619,0.0628,-0.0628,7.63E+01,4.30E+00,-4.30E+00,1.55,2.80E-01,-1.70E-01,720.22,362.66,-201.6,20.9
CONFIRMED,CANDIDATE,1,3.289726319,8.63E-06,-8.63E-06,131.75522,2.11E-03,-2.11E-03,0.052,0.391,-0.052,2.3274,0.0662,-0.0662,2.35E+02,9.90E+00,-9.90E+00,1.37,1.60E-01,-8.00E-02,367.18,122.47,-60.02,27
CONFIRMED,CANDIDATE,1,7.18644594,1.93E-05,-1.93E-05,136.62345,2.37E-03,-2.37E-03,0.892,0.022,-0.644,1.4972,0.0637,-0.0637,4.02E+02,2.04E+01,-2.04E+01,2.19,2.70E-01,-1.30E-01,129.48,43.19,-21.16,23.8
CONFIRMED,CANDIDATE,1,15.94248453,5.99E-05,-5.99E-05,146.33157,2.98E-03,-2.98E-03,0.022,0.423,-0.022,3.4894,0.0806,-0.0806,1.09E+03,3.47E+01,-3.47E+01,2.62,5.40E-01,-2.20E-01,34.06,22.94,-9.19,34.3
CONFIRMED,CANDIDATE,1,41.0081117,1.18E-04,-1.18E-04,147.03382,2.38E-03,-2.38E-03,0.878,0.039,-0.595,4.376,0.113,-0.113,1.00E+03,2.43E+01,-2.43E+01,2.64,4.10E-01,-1.90E-01,7.72,3.9,-1.76,43.9
CONFIRMED,CANDIDATE,0.99,11.55562042,3.10E-05,-3.10E-05,138.19752,2.07E-03,-2.07E-03,0.874,0.053,-0.621,1.6758,0.0649,-0.0649,4.42E+02,2.27E+01,-2.27E+01,2.11,2.50E-01,-9.00E-02,57.75,18.51,-7.64,22.7
CANDIDATE,CANDIDATE,1,12.2885046,1.09E-04,-1.09E-04,141.61869,7.71E-03,-7.71E-03,0.632,0.309,-0.406,2.807,0.232,-0.232,3.42E+02,3.37E+01,-3.37E+01,3.22,1.50E+00,-1.82E+00,164.61,237.14,-136.91,12
CONFIRMED,CANDIDATE,0.969,17.13263125,7.89E-05,-7.89E-05,147.1546,4.03E-03,-4.03E-03,0.298,0.153,-0.298,3.0555,0.0958,-0.0958,8.50E+02,3.74E+01,-3.74E+01,2.31,5.10E-01,-2.20E-01,32.91,23.07,-9.33,26.4
CONFIRMED,CANDIDATE,1,19.0231361,1.15E-04,-1.15E-04,139.65988,4.47E-03,-4.47E-03,0.698,0.243,-0.493,3.431,0.13,-0.13,4.02E+02,2.15E+01,-2.15E+01,2.04,2.70E-01,-1.50E-01,41.5,14.82,-7.87,19.7
CONFIRMED,CANDIDATE,1,4.57948235,2.89E-05,-2.89E-05,135.09685,5.47E-03,-5.47E-03,0.055,0.393,-0.055,3.106,0.159,-0.159,2.07E+02,1.20E+01,-1.20E+01,1.35,1.80E-01,-1.00E-01,276.82,98.83,-52.49,20
CONFIRMED,CANDIDATE,1,1.003931703,2.69E-06,-2.69E-06,132.09988,2.47E-03,-2.47E-03,0.023,0.435,-0.023,1.4361,0.0634,-0.0634,4.91E+02,2.38E+01,-2.38E+01,1.6,1.60E-01,-1.70E-01,962.58,369.98,-297.9,25.2
FALSE POSITIVE,FALSE POSITIVE,0,0.614083885,8.17E-07,-8.17E-07,132.46969,1.11E-03,-1.11E-03,0.106,0.344,-0.106,0.9817,0.0403,-0.0403,3.90E+02,1.39E+01,-1.39E+01,2.55,8.00E-01,-3.20E-01,10827.22,9729.43,-3739.42,36.4
CONFIRMED,CANDIDATE,0.998,55.8224775,4.10E-04,-4.10E-04,169.03741,5.45E-03,-5.45E-03,0.031,0.424,-0.031,5.457,0.17,-0.17,8.80E+02,4.26E+01,-4.26E+01,2.13,2.80E-01,-1.90E-01,4.85,2.14,-1.23,23.7
CANDIDATE,CANDIDATE,0.036,1.34145255,1.31E-05,-1.31E-05,132.69106,8.21E-03,-8.21E-03,0.68,0.236,-0.44,7.502,0.227,-0.227,2.66E+01,1.10E+00,-1.10E+00,1.31,2.80E-01,-4.60E-01,19568.74,13259.64,-12680.97,31.2
CONFIRMED,CANDIDATE,0.999,6.11010439,4.64E-05,-4.64E-05,136.91214,5.87E-03,-5.87E-03,0.284,0.175,-0.284,2.314,0.182,-0.182,5.97E+01,5.90E+00,-5.90E+00,0.93,1.50E-01,-5.00E-02,378.84,168.53,-70.64,11.8
CONFIRMED,CANDIDATE,0.007,4.286866229,3.23E-06,-3.23E-06,138.614882,6.11E-04,-6.11E-04,0.757,0.018,-0.384,4.4726,0.0748,-0.0748,1.32E+03,9.90E+00,-9.90E+00,4.14,1.31E+00,-4.30E-01,517.66,482.82,-158.26,167.3
CANDIDATE,CANDIDATE,1,10.27380957,5.93E-05,-5.93E-05,134.65748,5.05E-03,-5.05E-03,0.125,0.334,-0.125,3.252,0.141,-0.141,3.53E+02,2.05E+01,-2.05E+01,1.68,1.60E-01,-8.00E-02,96.27,24.4,-14.49,19.2
CONFIRMED,CANDIDATE,1,13.39155154,5.94E-05,-5.94E-05,133.05499,3.50E-03,-3.50E-03,0.539,0.43,-0.33,3.391,0.107,-0.107,4.89E+01,2.20E+00,-2.20E+00,1.58,2.50E-01,-4.10E-01,459.23,206.89,-227.35,24.5
CONFIRMED,CANDIDATE,1,5.62904396,2.17E-05,-2.17E-05,134.74679,3.05E-03,-3.05E-03,0.237,0.223,-0.237,3.7295,0.0876,-0.0876,3.95E+01,1.40E+00,-1.40E+00,1.39,2.10E-01,-3.70E-01,1459.41,657.48,-722.5,32.2
CANDIDATE,CANDIDATE,1,8.2562857,3.70E-05,-3.70E-05,137.9267,3.36E-03,-3.36E-03,0.816,0.142,-0.561,2.0378,0.0976,-0.0976,3.73E+01,2.30E+00,-2.30E+00,1.49,2.30E-01,-3.90E-01,874.56,394,-432.96,18.2
CONFIRMED,CANDIDATE,1,12.33087921,4.97E-05,-4.97E-05,361.9744,2.70E-03,-2.70E-03,0.011,0.435,-0.011,3.0664,0.0807,-0.0807,8.72E+02,3.35E+01,-3.35E+01,2.34,4.80E-01,-2.00E-01,47.99,32.3,-12.95,28.3
CONFIRMED,CANDIDATE,1,4.421566535,9.73E-06,-9.73E-06,132.18465,1.83E-03,-1.83E-03,0.869,0.058,-0.583,2.1229,0.0576,-0.0576,6.84E+02,2.53E+01,-2.53E+01,2.19,6.00E-02,-1.00E-01,66.94,9.53,-10.73,31.9
CONFIRMED,CANDIDATE,0.999,15.72585941,6.28E-05,-6.28E-05,133.98774,3.87E-03,-3.87E-03,0.122,0.286,-0.122,3.8284,0.0841,-0.0841,1.31E+03,4.63E+01,-4.63E+01,2.69,2.50E-01,-1.10E-01,31.13,8.98,-4.79,32.7
CONFIRMED,CANDIDATE,1,1.252753881,2.23E-06,-2.23E-06,133.17054,1.48E-03,-1.48E-03,0.4,0.041,-0.4,2.1472,0.0471,-0.0471,2.00E+02,5.70E+00,-5.70E+00,2.44,3.70E-01,-5.60E-01,5545.35,2235.3,-2431.33,40.5
CANDIDATE,CANDIDATE,1,13.36019864,5.96E-05,-5.96E-05,131.81481,3.56E-03,-3.56E-03,0.534,0.329,-0.354,2.788,0.113,-0.113,7.00E+02,3.75E+01,-3.75E+01,1.84,1.30E-01,-1.10E-01,17.3,4.76,-3.74,21.3
CONFIRMED,CANDIDATE,0.978,76.957056,6.26E-04,-6.26E-04,192.33682,6.84E-03,-6.84E-03,0.638,0.06,-0.46,9.551,0.189,-0.189,3.67E+02,1.58E+01,-1.58E+01,2.09,5.70E-01,-3.70E-01,9.81,7.76,-3.89,26.5
CANDIDATE,CANDIDATE,1,14.97974335,6.33E-05,-6.33E-05,143.46174,3.43E-03,-3.43E-03,0.93,0.017,-0.683,4.126,0.171,-0.171,1.21E+03,3.93E+01,-3.93E+01,3.79,4.10E-01,-4.50E-01,34.95,14.91,-11.5,33.2
CANDIDATE,CANDIDATE,,6.7445683,5.70E-04,-5.70E-04,135.5092,3.64E-02,-3.64E-02,0.1199,0.321,-0.1198,3.813,0.831,-0.831,8.66E+01,1.73E+01,-1.73E+01,0.86,3.50E-01,-8.00E-02,220.68,260.48,-59.34,6.8
CANDIDATE,CANDIDATE,0.975,33.35859852,8.67E-05,-8.67E-05,137.57061,2.38E-03,-2.38E-03,0.937,0.056,-0.724,2.286,0.151,-0.151,1.83E+03,6.33E+01,-6.33E+01,4.44,4.80E-01,-4.70E-01,10.46,4.28,-3.24,32.2
CANDIDATE,CANDIDATE,1,8.84784273,3.37E-05,-3.37E-05,140.15085,2.86E-03,-2.86E-03,0.047,0.411,-0.047,2.0572,0.0995,-0.0995,4.60E+02,2.58E+01,-2.58E+01,1.15,7.00E-02,-7.00E-02,12.48,2.69,-2.38,21.1
CONFIRMED,CANDIDATE,0.999,9.98970266,4.17E-05,-4.17E-05,133.76102,3.42E-03,-3.42E-03,0.005,0.447,-0.005,3.7,0.109,-0.109,9.88E+02,4.64E+01,-4.64E+01,2.48,4.20E-01,-1.80E-01,58.26,33.11,-14.82,24.1
CONFIRMED,CANDIDATE,1,5.63252508,6.01E-06,-6.01E-06,133.81818,8.67E-04,-8.67E-04,0.455,0.023,-0.425,2.1448,0.0303,-0.0303,6.34E+02,1.03E+01,-1.03E+01,2.04,2.80E-01,-1.60E-01,119.75,55.64,-29.25,70.9
CONFIRMED,CANDIDATE,1,1.442592305,4.87E-06,-4.87E-06,134.07188,2.78E-03,-2.78E-03,0.207,0.248,-0.207,2.9698,0.0858,-0.0858,1.66E+02,7.10E+00,-7.10E+00,2.67,6.70E-01,-9.10E-01,12557.23,9301.91,-7901.93,27.1
CONFIRMED,CANDIDATE,0.997,14.17222858,5.56E-05,-5.56E-05,142.60134,3.20E-03,-3.20E-03,0.869,0.048,-0.62,2.6297,0.083,-0.083,2.47E+02,1.10E+01,-1.10E+01,2.39,3.80E-01,-4.60E-01,137.33,60.78,-55.22,24.5
CONFIRMED,CANDIDATE,0.991,4.92031063,3.08E-05,-3.08E-05,135.40577,5.10E-03,-5.10E-03,0.242,0.204,-0.242,4.046,0.131,-0.131,8.10E+01,5.20E+00,-5.20E+00,1.18,1.90E-01,-2.30E-01,562.99,249.17,-226.36,17.7
CANDIDATE,CANDIDATE,0.973,56.4931698,3.63E-04,-3.63E-04,143.99262,5.83E-03,-5.83E-03,0.707,0.227,-0.473,8.704,0.176,-0.176,4.12E+02,1.49E+01,-1.49E+01,4.43,7.70E-01,-1.14E+00,50.79,24.72,-24.97,31.8
CONFIRMED,CANDIDATE,1,13.82142084,2.22E-05,-2.22E-05,131.79237,1.25E-03,-1.25E-03,0.904,0.031,-0.66,3.985,0.124,-0.124,7.65E+02,1.08E+01,-1.08E+01,2.2,1.50E-01,-8.00E-02,23.15,5.42,-3.35,75.3
FALSE POSITIVE,FALSE POSITIVE,0.006,2.30367952,1.31E-05,-1.31E-05,133.76909,4.23E-03,-4.23E-03,0.964,0.035,-0.748,3.0898,0.0835,-0.0835,1.36E+02,8.10E+00,-8.10E+00,1.3,3.70E-01,-9.00E-02,866.21,709.01,-216.6,18.9
CANDIDATE,CANDIDATE,1,5.78387049,1.54E-05,-1.54E-05,135.5798,1.96E-03,-1.96E-03,0.227,0.221,-0.227,1.3966,0.0681,-0.0681,4.13E+02,2.37E+01,-2.37E+01,2.07,6.20E-01,-2.10E-01,288.69,258.79,-86.48,20.7
CONFIRMED,CANDIDATE,0.997,11.08507658,5.15E-05,-5.15E-05,355.03627,3.40E-03,-3.40E-03,0.819,0.005,-0.582,1.751,0.103,-0.103,7.72E+02,5.11E+01,-5.11E+01,2.5,2.90E-01,-2.30E-01,46.17,19.68,-12.76,17.7
CONFIRMED,CANDIDATE,1,0.571038347,6.84E-07,-6.84E-07,131.653752,9.22E-04,-9.22E-04,0.876,0.025,-0.652,1.1267,0.0331,-0.0331,2.42E+02,7.50E+00,-7.50E+00,1.65,8.00E-02,-1.50E-01,3069.59,547.14,-696.13,38.2
CONFIRMED,CANDIDATE,1,8.77425786,2.93E-05,-2.93E-05,132.33386,2.96E-03,-2.96E-03,0.917,0.025,-0.693,2.2245,0.076,-0.076,2.40E+02,1.26E+01,-1.26E+01,1.75,5.30E-01,-2.20E-01,83.63,76.88,-25.89,22.3
CONFIRMED,CANDIDATE,0,4.51005082,1.53E-05,-1.53E-05,134.56954,2.87E-03,-2.87E-03,0.115,0.354,-0.115,2.1533,0.0872,-0.0872,2.95E+02,1.61E+01,-1.61E+01,1.74,2.40E-01,-2.40E-01,301.74,112.58,-89.14,21.5
CONFIRMED,CANDIDATE,1,37.6468519,2.27E-04,-2.27E-04,161.46355,4.86E-03,-4.86E-03,0.008,0.452,-0.008,6.344,0.133,-0.133,4.27E+02,1.58E+01,-1.58E+01,5.37,8.10E-01,-1.90E+00,90.85,36.5,-55.31,31
CANDIDATE,CANDIDATE,1,29.4557841,1.19E-04,-1.19E-04,154.17062,2.91E-03,-2.91E-03,0.018,0.426,-0.018,3.451,0.101,-0.101,5.34E+02,2.30E+01,-2.30E+01,2.19,6.80E-01,-2.20E-01,30.3,27.31,-8.93,26.6
CONFIRMED,CANDIDATE,1,12.46600444,5.54E-06,-5.54E-06,134.003258,3.76E-04,-3.76E-04,0.209,0.094,-0.209,5.0066,0.0198,-0.0198,2.23E+03,8.10E+00,-8.10E+00,5.65,8.90E-01,-9.00E-01,152.76,69.26,-53.05,304.6
CONFIRMED,CANDIDATE,1,2.361724472,3.49E-06,-3.49E-06,133.23932,1.20E-03,-1.20E-03,0.009,0.457,-0.009,1.2167,0.0423,-0.0423,5.87E+02,1.99E+01,-1.99E+01,1.53,1.10E-01,-1.40E-01,170.59,49.25,-46.39,34.6
CONFIRMED,CANDIDATE,0.991,34.7630543,2.13E-04,-2.13E-04,161.74217,5.31E-03,-5.31E-03,0.731,0.204,-0.511,4.309,0.134,-0.134,2.94E+02,1.32E+01,-1.32E+01,1.75,2.30E-01,-2.20E-01,22.23,8.51,-6.6,24
CONFIRMED,CANDIDATE,0.998,20.0545282,1.50E-04,-1.50E-04,136.56587,5.61E-03,-5.61E-03,0.939,0.023,-0.69,7.173,0.129,-0.129,3.05E+02,1.18E+01,-1.18E+01,2.63,4.40E-01,-2.90E-01,76.97,33.59,-19.66,26.9
CONFIRMED,CANDIDATE,1,3.17059731,1.00E-05,-1.00E-05,132.67813,2.50E-03,-2.50E-03,0.793,0.124,-0.55,1.6686,0.0835,-0.0835,3.25E+02,1.93E+01,-1.93E+01,1.69,1.80E-01,-6.00E-02,321.28,92.7,-41.96,20.1
CONFIRMED,CANDIDATE,1,27.0142622,1.50E-04,-1.50E-04,132.52245,4.87E-03,-4.87E-03,0.009,0.443,-0.009,5.385,0.126,-0.126,2.88E+02,1.21E+01,-1.21E+01,2,3.10E-01,-2.80E-01,49.65,21.43,-15.73,25.5
CONFIRMED,CANDIDATE,0.998,12.50945798,7.47E-05,-7.47E-05,136.99217,4.60E-03,-4.60E-03,0.626,0.335,-0.42,3.479,0.145,-0.145,1.55E+02,1.08E+01,-1.08E+01,1.54,2.40E-01,-2.10E-01,138.54,59.79,-43.89,16
CONFIRMED,CANDIDATE,1,26.0203329,1.87E-04,-1.87E-04,154.5286,6.24E-03,-6.24E-03,0.704,0.054,-0.494,4.965,0.147,-0.147,1.16E+03,5.57E+01,-5.57E+01,4.53,7.10E-01,-8.70E-01,49.09,20.71,-18.78,23.7
CONFIRMED,CANDIDATE,0.995,0.769854899,1.24E-06,-1.24E-06,132.51944,1.26E-03,-1.26E-03,0.705,0.24,-0.494,1.0243,0.0449,-0.0449,1.10E+02,4.90E+00,-4.90E+00,0.93,1.20E-01,-7.00E-02,1756.8,768.41,-413.59,28.7
CONFIRMED,CANDIDATE,1,6.89226333,2.63E-05,-2.63E-05,132.4644,2.83E-03,-2.83E-03,0.061,0.387,-0.061,2.4921,0.0997,-0.0997,2.14E+02,1.11E+01,-1.11E+01,2.13,3.40E-01,-4.20E-01,422.14,176.38,-162.47,22.4
CONFIRMED,CANDIDATE,0.999,8.07127043,5.17E-05,-5.17E-05,137.76604,5.77E-03,-5.77E-03,0.271,0.192,-0.271,2.393,0.156,-0.156,3.18E+02,2.23E+01,-2.23E+01,1.53,4.20E-01,-1.40E-01,126.94,103.13,-34.34,16.9
CONFIRMED,CANDIDATE,1,11.01819178,7.24E-05,-7.24E-05,139.87858,5.95E-03,-5.95E-03,0.883,0.016,-0.626,4.635,0.148,-0.148,5.46E+02,2.68E+01,-2.68E+01,2.64,8.20E-01,-2.70E-01,117.97,107.68,-35.55,22
CONFIRMED,CANDIDATE,0.982,30.9505927,2.19E-04,-2.19E-04,153.84507,5.47E-03,-5.47E-03,0.958,0.015,-0.665,5.394,0.208,-0.208,3.01E+02,1.42E+01,-1.42E+01,1.51,1.10E-01,-5.00E-02,7.91,1.86,-1.14,23.2
CANDIDATE,CANDIDATE,,6.3143447,1.13E-04,-1.13E-04,173.3097,1.51E-02,-1.51E-02,0.0584,0.4186,-0.0583,2.796,0.459,-0.459,1.91E+02,3.96E+01,-3.96E+01,1.34,5.30E-01,-1.20E-01,247.53,282.49,-69.37,6.4
CANDIDATE,CANDIDATE,0.984,78.7327023,6.49E-04,-6.49E-04,168.72926,7.16E-03,-7.16E-03,0.956,0.002,-0.731,5.041,0.268,-0.268,4.96E+02,3.01E+01,-3.01E+01,7.76,1.41E+00,-2.61E+00,79.13,43.47,-48.56,19.1
FALSE POSITIVE,FALSE POSITIVE,0,3.979867514,4.37E-06,-4.37E-06,132.071233,8.92E-04,-8.92E-04,1.216,15.01,-0.109,2.3607,0.0476,-0.0476,9.08E+02,1.68E+01,-1.68E+01,26.5,8.58E+00,-2.86E+00,446.89,427.15,-138.24,65.2
CANDIDATE,CANDIDATE,0.992,42.3375799,4.06E-04,-4.06E-04,158.25187,8.15E-03,-8.15E-03,0.947,0,-0.655,4.924,0.157,-0.157,3.55E+02,2.26E+01,-2.26E+01,1.45,7.00E-02,-8.00E-02,2.21,0.43,-0.39,18.1
CANDIDATE,CANDIDATE,1,23.3593589,1.28E-04,-1.28E-04,144.01826,4.51E-03,-4.51E-03,0.94,0.012,-0.651,5.389,0.187,-0.187,5.70E+02,2.45E+01,-2.45E+01,2.98,9.90E-01,-3.30E-01,51.68,50.36,-16.41,25.9
CONFIRMED,CANDIDATE,1,9.69310837,3.04E-05,-3.04E-05,134.53003,2.86E-03,-2.86E-03,0.534,0.009,-0.466,2.734,0.0772,-0.0772,1.13E+03,4.06E+01,-4.06E+01,2.12,1.80E-01,-1.90E-01,32.4,11.71,-9.09,30.4
FALSE POSITIVE,FALSE POSITIVE,0,24.2598301,1.33E-04,-1.33E-04,132.47982,5.11E-03,-5.11E-03,1.244,7.076,-0.344,3.897,0.218,-0.218,1.54E+03,7.20E+01,-7.20E+01,25.42,5.56E+00,-2.36E+00,21.13,14.63,-5.94,26.3
FALSE POSITIVE,FALSE POSITIVE,0,116.5214317,7.04E-04,-7.04E-04,144.13378,5.20E-03,-5.20E-03,1.26,73.95,-1.25,5.577,0.266,-0.266,7.72E+02,3.62E+01,-3.62E+01,44.41,7.93E+00,-8.72E+00,10.33,5.33,-4.18,25
CONFIRMED,CANDIDATE,1,0.813166357,1.40E-06,-1.40E-06,131.82536,1.49E-03,-1.49E-03,0.06,0.399,-0.06,1.4122,0.0501,-0.0501,1.74E+02,6.20E+00,-6.20E+00,1.14,1.00E-01,-6.00E-02,1945.44,463.14,-317.76,34.8
CANDIDATE,CANDIDATE,0.989,10.86062378,3.96E-05,-3.96E-05,136.65957,3.01E-03,-3.01E-03,0.261,0.188,-0.261,2.2874,0.0856,-0.0856,1.90E+02,1.06E+01,-1.06E+01,2.09,5.90E-01,-5.90E-01,356.24,294.78,-195.5,20.7
CONFIRMED,CANDIDATE,1,24.08632177,9.92E-05,-9.92E-05,148.20086,2.90E-03,-2.90E-03,0.802,0.152,-0.59,2.236,0.117,-0.117,1.04E+03,6.91E+01,-6.91E+01,2.78,2.60E-01,-2.80E-01,14.78,5.57,-4.35,18
CANDIDATE,CANDIDATE,0.999,1.834277283,7.85E-06,-7.85E-06,132.85895,3.79E-03,-3.79E-03,0.381,0.088,-0.381,1.7499,0.086,-0.086,2.87E+02,1.43E+01,-1.43E+01,1.64,4.50E-01,-2.00E-01,1068.36,901.58,-345.13,24.8
FALSE POSITIVE,FALSE POSITIVE,0,17.40208965,9.23E-05,-9.23E-05,141.93057,4.32E-03,-4.32E-03,1.216,74.96,-4.039,3.745,0.22,-0.22,6.17E+02,3.49E+01,-3.49E+01,16.37,7.20E-01,-7.70E-01,7.49,1.34,-1.22,20.9
CONFIRMED,CANDIDATE,1,37.9456138,2.11E-04,-2.11E-04,134.78331,4.59E-03,-4.59E-03,0.263,0.19,-0.263,4.093,0.127,-0.127,1.03E+03,4.93E+01,-4.93E+01,2.79,8.40E-01,-2.30E-01,16.61,14.79,-4.17,24
FALSE POSITIVE,FALSE POSITIVE,0,1.141877248,6.60E-08,-6.60E-08,170.3386848,4.62E-05,-4.62E-05,0.598,0.007,-0.007,4.33931,0.00301,-0.00301,3.09E+05,1.77E+02,-1.77E+02,88.62,2.58E+01,-2.58E+01,5358.79,4593.18,-2978.79,2036.3
FALSE POSITIVE,FALSE POSITIVE,0,5.77675928,1.48E-05,-1.48E-05,143.09616,2.24E-03,-2.24E-03,1.272,3.833,-0.127,6.789,0.425,-0.425,3.52E+03,3.00E-01,-3.00E-01,32.77,9.10E+00,-5.58E+00,195.79,163.88,-76.44,141.4
CONFIRMED,CANDIDATE,1,24.1738244,1.24E-04,-1.24E-04,135.62471,4.45E-03,-4.45E-03,0.251,0.209,-0.251,3.056,0.117,-0.117,5.33E+02,2.87E+01,-2.87E+01,2.21,2.60E-01,-1.90E-01,29.69,9.5,-6.38,21.5
CANDIDATE,CANDIDATE,1,5.186737262,7.37E-06,-7.37E-06,134.99509,1.20E-03,-1.20E-03,0.825,0.038,-0.568,0.8023,0.0521,-0.0521,7.13E+02,3.99E+01,-3.99E+01,2.4,3.80E-01,-1.70E-01,129.37,65.71,-30.84,25.7
CANDIDATE,CANDIDATE,1,1.151244686,1.52E-06,-1.52E-06,132.64551,1.15E-03,-1.15E-03,1.387,7.621,-0.119,1.272,0.0679,-0.0679,2.70E+02,1.07E+01,-1.07E+01,40.32,1.26E+01,-4.21E+00,2253.09,2065.12,-671.41,32.6
CONFIRMED,CANDIDATE,1,1.217000383,2.87E-06,-2.87E-06,132.03128,1.93E-03,-1.93E-03,0.028,0.422,-0.028,1.3285,0.0701,-0.0701,4.60E+02,2.16E+01,-2.16E+01,1.58,1.10E-01,-1.50E-01,707.61,203.68,-194.33,26.5
CONFIRMED,CANDIDATE,0.997,13.6823798,1.06E-04,-1.06E-04,139.18611,5.98E-03,-5.98E-03,0.595,0.029,-0.47,4.153,0.176,-0.176,1.80E+02,1.22E+01,-1.22E+01,1.43,4.40E-01,-1.70E-01,97.74,87.21,-32.66,17
CANDIDATE,CANDIDATE,0.999,2.42088277,1.33E-05,-1.33E-05,133.57809,4.99E-03,-4.99E-03,0.227,0.237,-0.227,2.812,0.14,-0.14,2.23E+02,1.27E+01,-1.27E+01,2.27,3.50E-01,-5.30E-01,1615.12,670.11,-712.71,20.7
CONFIRMED,CANDIDATE,1,8.79618433,3.07E-05,-3.07E-05,135.67645,3.05E-03,-3.05E-03,0.05,0.4,-0.05,3.3781,0.0894,-0.0894,2.86E+02,1.20E+01,-1.20E+01,1.77,4.80E-01,-1.70E-01,183.26,143.41,-52.77,27
CANDIDATE,CANDIDATE,1,16.85592593,6.43E-05,-6.43E-05,138.26808,3.51E-03,-3.51E-03,0.038,0.41,-0.038,2.309,0.117,-0.117,8.72E+02,5.19E+01,-5.19E+01,1.7,8.00E-02,-1.00E-01,6.52,1.18,-1.2,19.5
CONFIRMED,CANDIDATE,1,14.36270451,6.90E-05,-6.90E-05,141.435,4.32E-03,-4.32E-03,0.272,0.18,-0.272,4.564,0.119,-0.119,3.49E+02,1.51E+01,-1.51E+01,2.31,6.60E-01,-2.90E-01,167.88,138.53,-55.2,26.8
CONFIRMED,CANDIDATE,0.999,69.8956789,5.24E-04,-5.24E-04,160.66805,6.13E-03,-6.13E-03,0.872,0.064,-0.584,5.276,0.182,-0.182,5.48E+02,2.87E+01,-2.87E+01,3.04,6.20E-01,-5.10E-01,8.99,4.87,-3.09,21.9
CONFIRMED,CANDIDATE,0.059,6.24667547,2.79E-05,-2.79E-05,136.38688,3.64E-03,-3.64E-03,0.877,0.023,-0.587,11.261,0.192,-0.192,3.97E+02,7.10E+00,-7.10E+00,14.93,1.34E+00,-1.22E+00,3095.83,823.53,-606.19,63.6
CONFIRMED,CANDIDATE,1,2.344512589,5.69E-06,-5.69E-06,132.87316,2.17E-03,-2.17E-03,0.803,0.003,-0.572,1.4116,0.0603,-0.0603,5.89E+01,3.20E+00,-3.20E+00,0.97,1.40E-01,-1.30E-01,1106.25,459.81,-339.72,21.9
CONFIRMED,CANDIDATE,1,5.766165573,7.62E-06,-7.62E-06,134.01725,1.07E-03,-1.07E-03,0.017,0.307,-0.017,3.8314,0.0296,-0.0296,3.65E+02,5.90E+00,-5.90E+00,2.27,3.60E-01,-3.60E-01,426.48,193.4,-148.09,65.6
CONFIRMED,CANDIDATE,0.988,18.3027235,1.49E-04,-1.49E-04,142.89166,6.41E-03,-6.41E-03,0.742,0.165,-0.507,8.262,0.217,-0.217,1.87E+02,8.30E+00,-8.30E+00,2.72,6.50E-01,-4.40E-01,156.71,99.65,-52,24.7
